id,en,zh-HK,zh-Hant,zh-Hans
Register.mobilenumber.pre.error1,Please enter your mobile number.,請輸入您的手機號碼。,請輸入您的手機號碼。,请输入您的手机号码。
Register.mobilenumber.pre.error2,You have entered an invalid mobile number.,您輸入的手機號碼無效。,您輸入的手機號碼無效。,您输入的手机号码无效。
Register.mobilenumber.pre.error3,Mobile number has already been used. Please enter another one.,手機號碼已被使用，請輸入另一個。,手機號碼已被使用，請輸入另一個。,手机号码已被使用，请输入另一个。
Register.mobilenumber.pre.error4,"Your provided mobile number has not been verified yet. Please tap \""Verify\"" to receive a verification code SMS and input the verification code.",您提供的手機號碼尚未通過驗證，請按「驗證」收取驗證碼簡訊並輸入該驗證碼。,您提供的手機號碼尚未通過驗證，請按「驗證」收取驗證碼簡訊並輸入該驗證碼。,您提供的手机号码尚未通过验证，请按「验证」收取验证码短讯并输入该验证码。
Register.IDdocumet.pre.error1,You have entered an invalid Document ID.,您輸入的身份證明文件號碼無效。,您輸入的身份證明文件號碼無效。,您输入的身份证明文件号码无效。
Register.IDdocumet.pre.error2,You have entered an invalid HKID Number.,您輸入的香港身份證號碼無效。,您輸入的香港身份證號碼無效。,您输入的香港身份证号码无效。
Register.IDdocumet.pre.error3,Your HKID number has been registered by another user.,您的香港身份證號碼已被另一用戶註冊。,您的香港身份證號碼已被另一用戶註冊。,您的香港身份证号码已被另一用户注册。
Register.date.pre.error,Date of Birth is invalid.,出生日期無效。,出生日期無效。,出生日期无效。
,,,,
Register.Ver.tips,(Please tap “Verify” to receive a verification code after input.),(輸入後請按「驗證」收取驗證碼),(輸入後請按「驗證」收取驗證碼),(输入后请按「验证」收取验证码)
Register.password.tips,(The password must have: \n At least 8 characters \n At least 1 mixed-case alphabetic character \n At least 1 numeric character \n At least 1 special character),(密碼必須包含 : \n 至少 8 個字符 \n 至少 1 個大小寫混合的字母字符 \n 至少 1 個數字字符 \n 至少 1 個特殊字符),(密碼必須包含 : \n 至少 8 個字符 \n 至少 1 個大小寫混合的字母字符 \n 至少 1 個數字字符 \n 至少 1 個特殊字符),(密码必须包含 : \n 至少 8 个字符 \n 至少 1 个大小写混合的字母字符 \n 至少 1 个数字字符 \n 至少 1 个特殊字符)
Register.password.tips.label,The password must have:,密碼必須包含 :,密碼必須包含 :,密码必须包含 :
Register.lastname.tips,"(Last Name should be as same as it shown on the identity document, e.g. HKID, Passport, etc.)",(輸入的英文姓氏須與身份證明文件上所顯示的相符),(輸入的英文姓氏須與身份證明文件上所顯示的相符),(输入的英文姓氏须与身份证明文件上所显示的相符)
Register.firstname.tips,"(First Name should be as same as it shown on the identity document, e.g. HKID, Passport, etc.)",(輸入的英文名字須與身份證明文件上所顯示的相符),(輸入的英文名字須與身份證明文件上所顯示的相符),(输入的英文名字须与身份证明文件上所显示的相符)
,,,,
Register.emailver.text,"We need to verify your email and a 6 digits verification code was sent to your email, please enter the verification code below.",我們需要驗證您的郵箱，一個6位數的驗證碼已經發送到您的郵箱，請在下方輸入驗證碼。,我們需要驗證您的郵箱，一個6位數的驗證碼已經發送到您的郵箱，請在下方輸入驗證碼。,我们需要验证您的邮箱，一个6位数的验证码已经发送到您的邮箱，请在下方输入验证码。
Register.emailver.label,Email Verification Code:,電郵驗證碼:,電郵驗證碼:,电邮验证码:
Register.ver.button1,Verify,驗證,驗證,验证
Register.ver.button2,Submit,提交,提交,提交
Register.ver.button3,Resend,重發,重發,重发
Register.ver.button4,s,秒,秒,秒
Register.ver.pre.error,Please enter the verification code.,請輸入驗證碼。,請輸入驗證碼。,请输入验证码。
Register.ver.post.error1,"Failed to connect to server, please try again later.",連接服務器失敗，請稍後重試。,連接服務器失敗，請稍後重試。,连接服务器失败，请稍后重试。
Register.ver.post.error2,"You have entered an invalid verification code, please try again.",您輸入的驗證碼無效，請重試。,您輸入的驗證碼無效，請重試。,您输入的验证码无效，请重试。
Register.ver.post.error3,"You have entered an expired verification code, please resend the verification code",您輸入的驗證碼已過期，請重新發送驗證碼。,您輸入的驗證碼已過期，請重新發送驗證碼。,您输入的验证码已过期，请重新发送验证码。
Register.mobile.ver.text,"We need to verify your mobile number and a 6 digits verification code was sent to your mobile number, please enter the verification code below.",我們需要驗證您的手機號碼，並且已向您的手機號碼發送了一個 6 位數的驗證碼，請在下方輸入驗證碼。,我們需要驗證您的手機號碼，並且已向您的手機號碼發送了一個 6 位數的驗證碼，請在下方輸入驗證碼。,我们需要验证您的手机号码，并且已向您的手机号码发送了一个 6 位数的验证码，请在下方输入验证码。
Register.mobile.ver.label,SMS Verification Code:,手機短信驗證碼:,手機短信驗證碼:,手机短信验证码:
,,,,
RegisterSuccess.text1,Registration Success,成功註冊,成功註冊,成功注册
RegisterSuccess.text2,You are DSL new user now,您現在是 DSL的新用戶,您現在是 DSL的新用戶,您现在是 DSL的新用户
RegisterSuccess.button,Return to login page,返回登錄頁面,返回登錄頁面,返回登录页面
,,,,
Twostepver.text1,2-Step Verification,兩步驗證,兩步驗證,两步验证
Twostepver.text2,A 6 digits verification code was just sent to,内含6 位數驗證碼的電郵剛剛發送到,内含6 位數驗證碼的電郵剛剛發送到,内含6 位数验证码的电邮刚刚发送到
Twostepver.text3,A 6 digits verificaion code was just sent to your mobile number (+852),内含6 位數的驗證碼剛剛發送到 (+852),内含6 位數的驗證碼剛剛發送到 (+852),内含6位数的验证码刚刚发送到  (+852)
Twostepver.label1,Email Verification Code:,電郵驗證碼:,電郵驗證碼:,电邮验证码:
Twostepver.label2,SMS Verification Code:,短信驗證碼:,短信驗證碼:,短信验证码:
,,,,
Twostepver.button1,Next,繼續,繼續,继续
Twostepver.button2,Resend,重發,重發,重发
Twostepver.pre.error,Please enter the verification code.,請輸入驗證碼。,請輸入驗證碼。,请输入验证码。
Twostepver.post.error1,"You have entered an invalid verification code, please try again.",您輸入的驗證碼無效，請重試。,您輸入的驗證碼無效，請重試。,您输入的验证码无效，请重试。
Twostepver.post.error2,"You have entered an expired verification code, please resend the verification code.",您輸入的驗證碼已過期，請重新發送驗證碼。,您輸入的驗證碼已過期，請重新發送驗證碼。,您输入的验证码已过期，请重新发送验证码。
,,,,
BiometricEnable.text1,Please enable biometric login ,請啟用生物辨識登錄,請啟用生物辨識登錄,请启用生物识别登录
BiometricEnable.button1,Enable,啟用,啟用,启用
BiometricEnable.button2,Skip,跳過,跳過,跳过
BiometricEnable.warning.title,Biometric enrollment,生物辨識,生物辨識,生物识别
BiometricEnable.warning.text,Old device biometric enrollment will be revoked if biometric enrollment is completed on this device. Are you sure?,如果在此裝置上完成生物辨識註冊，舊裝置生物辨識註冊將被撤銷。 你確認嗎?,如果在此裝置上完成生物辨識註冊，舊裝置生物辨識註冊將被撤銷。 你確認嗎?,如果在此设备上完成生物识别注册，旧设备生物识别注册将被撤销。 你确认嗎?
BiometricEnable.warning.confirm,Yes,確認,確認,确认
BiometricEnable.warning.cancel,No,取消,取消,取消
,,,,
ForgotPassword.title,User Forgot Password,忘記密碼,忘記密碼,忘记密码
ForgotPassword.landing.text,Please enter your email to reset password.,請輸入您的電郵以重設密碼。,請輸入您的電郵以重設密碼。,请输入您的电邮以重新设置密码。
ForgotPassword.landing.label,Email:,電郵:,電郵:,电邮:
ForgotPassword.landing.button,Continue,繼續,繼續,继续
ForgotPassword.emailver.text1,Please Enter the Email Verification Code.,請輸入電郵驗證碼。,請輸入電郵驗證碼。,请输入电邮验证码。
ForgotPassword.emailver.text2,"If you are a registered user, a 6 digits verification code will be sent to",如 閣下為已註冊用戶，一個6位數的驗證碼將會送到,如 閣下為已註冊用戶，一個6位數的驗證碼將會送到,如 阁下为已注册用户，一个6位数的验证码将会送到
ForgotPassword.smsver.text1,Please enter the SMS verification code.,請輸入手機短信驗證碼。,請輸入手機短信驗證碼。,请输入手机短信验证码。
ForgotPassword.smsver.text2,A 6 digits verificaion code was just sent to your mobile number (+852),内含6 位數的驗證碼剛剛發送到 (+852),内含6 位數的驗證碼剛剛發送到 (+852),内含6位数的验证码刚刚发送到  (+852)
ForgotPassword.assign.text,Please Assign a New Password.,請輸入新密碼。,請輸入新密碼。,请输入新密码。
ForgotPassword.assign.label1,New Password:,新密碼:,新密碼:,新密码:
ForgotPassword.assign.label2,Confirm Password:,確認新密碼:,確認新密碼:,确认新密码:
ForgotPassword.assign.button,Next,繼續,繼續,继续
ForgotPassword.assign.post.error1,Password in history. Please try again.,密碼在歷史記錄中，請重新輸入。,密碼在歷史記錄中，請重新輸入。,密码在历史记录中，请重新输入。
ForgotPassword.assign.placeholder1,Enter new password,輸入新密碼,輸入新密碼,输入新密码
ForgotPassword.assign.placeholder2,Enter confirm password,輸入確認新密碼,輸入確認新密碼,输入确认新密码
ForgotPassword.assign.pre.error1,Please enter your new password.,請輸入您的新密碼。,請輸入您的新密碼。,请输入您的新密码。
ForgotPassword.success.text,You have reset your password successfully.,您已成功重設密碼。,您已成功重設密碼。,您已成功重设密码。
ForgotPassword.success.button,Return to login page,返回登錄頁面,返回登錄頁面,返回登录页面
,,,,
Twostepver.resend.text1,The verification code could be resent after in,驗證碼可以在,驗證碼可以在,验证码可以在
Twostepver.resend.text2,seconds,秒後重新發送。,秒後重新發送。,秒后重新发送。
Twostepver.resend.text3,Don't receive a code?,沒有收到驗證碼？,沒有收到驗證碼？,没有收到验证码？
Twostepver.resend.text4,Resend,重發,重發,重发
,,,,
DeleteAccount.title,User Account Deletion,删除帳戶,删除帳戶,删除帐戶
DeleteAccount.landing.text,"Account deletion is a permanent and irreversible action. Once the account is deleted, all account registration/logon records and online service applications (either completed or being processed) under the deleted account will no longer be accessible. 

Please thoroughly review and ensure no pending online service applications before proceeding to account deletion action. 

If you have any further inquiries, please contact our dedicated hotline at 8226 1886. ","刪除賬戶是一項無法恢復且永久性的操作。一旦賬戶被刪除，您將無法再查閱於香港警務處的網上服務申請平台的任何註冊/登入資料, 以及過往或正進行中的服務申請記錄。 

請務必於刪除賬戶前，仔細檢查並確保該賬戶內沒有任何進行中的網上服務申請。 

如有任何疑問，請致電我們的熱線電話8226 1886。 ","刪除賬戶是一項無法恢復且永久性的操作。一旦賬戶被刪除，您將無法再查閱於香港警務處的網上服務申請平台的任何註冊/登入資料, 以及過往或正進行中的服務申請記錄。 

請務必於刪除賬戶前，仔細檢查並確保該賬戶內沒有任何進行中的網上服務申請。 

如有任何疑問，請致電我們的熱線電話8226 1886。 ","删除账户是一项无法恢复且永久性的操作。一旦账户被删除，您将无法再查阅于香港警务处的网上服务申请平台的任何注册/登入数据, 以及过往或正进行中的服务申请记录。 

请务必于删除账户前，仔细检查并确保该账户内没有任何进行中的网上服务申请。 

如有任何疑问，请致电我们的热线电话8226 1886。 "
DeleteAccount.landing.button,Delete Account,删除帳戶,删除帳戶,删除帐戶
DeleteAccount.confirm.text,I understand the above statement and confirm there are no pending online service applications,我明白以上聲明並確認沒有進行中的網上服務申請,我明白以上聲明並確認沒有進行中的網上服務申請,我明白以上声明并确认没有进行中的网上服务申请
DeleteAccount.confirm.button1,Yes,確認,確認,确认
DeleteAccount.confirm.button2,No,取消,取消,取消
DeleteAccount.success.text1,Deletion success,刪除成功,刪除成功,删除成功
DeleteAccount.success.text2,"You are signed out and your account has been deleted, if you want to use our service, you need to register again.",您的帳戶已被刪除，如果您想使用我們的服務，您需要重新註冊。,您的帳戶已被刪除，如果您想使用我們的服務，您需要重新註冊。,您的帐户已被删除，如果您想使用我们的服务，您需要重新注册。
DeleteAccount.success.button,Return to login page,返回登錄頁面,返回登錄頁面,返回登录页面
,,,,
ProfileUpdate.title,User Profile Update,用戶資料更新,用戶資料更新,用戶资料更新
ProfileUpdate.landing.button,Save,儲存,儲存,储存
ProfileUpdate.landing.cancel,Cancel,取消,取消,取消
ProfileUpdate.success.text,Your profile has been updated successfully.,您的個人資料已成功更新。 ,您的個人資料已成功更新。,您的个人资料已成功更新。
ProfileUpdate.warning.title,Update Notice,更新通知,更新通知,更新通知
ProfileUpdate.warning.text,Some feature / service will not be allowed to access if you do not provide your mobile number.,如果您不提供手機號碼，將不允許訪問某些功能/服務。,如果您不提供手機號碼，將不允許訪問某些功能/服務。,如果您不提供手机号码，将不允许访问某些功能/服务。
ProfileUpdate.warning.button1,Back,返回,返回,返回
ProfileUpdate.warning.button2,Continue,繼續,繼續,继续
ProfileUpdate.emailver.text,"You have just updated your email and a 6 digits verification code was sent to your email, please enter the verification code below.",您剛剛更新了郵箱，一個6位的驗證碼已經發送到您的郵箱，請在下方輸入驗證碼。,您剛剛更新了郵箱，一個6位的驗證碼已經發送到您的郵箱，請在下方輸入驗證碼。,您刚刚更新了邮箱，一个6位的验证码已经发送到您的邮箱，请在下方输入验证码。
ProfileUpdate.mobile.ver.text,"You have just updated your mobile number and a 6 digits verification code was sent to your mobile number, please enter the verification code below.",您剛剛更新了您的手機號碼，一個6位的驗證碼已經發送到您的手機號碼，請在下方輸入驗證碼。,您剛剛更新了您的手機號碼，一個6位的驗證碼已經發送到您的手機號碼，請在下方輸入驗證碼。,您刚刚更新了您的手机号码，一个6位的验证码已经发送到您的手机号码，请在下方输入验证码。
,,,,
ChangePassword.title,User Change Password,用戶更改密碼,用戶更改密碼,用戶更改密码
ChangePassword.allow.label1,Current Password:,當前密碼:,當前密碼:,当前密码:
ChangePassword.allow.placeholder1,Enter current password,輸入當前密碼,輸入當前密碼,输入当前密码
ChangePassword.allow.pre.error1,Please enter your current password.,請輸入當前密碼。,請輸入當前密碼。,请输入当前密码。
ChangePassword.allow.post.error1,You have entered an incorrect current password.,您輸入的當前密碼不正確。,您輸入的當前密碼不正確。,您输入的当前密码不正确。
ChangePassword.allow.button,Save,儲存,儲存,储存
ChangePassword.success.text,You have changed your password successfully.,您已成功更改密碼。,您已成功更改密碼。,您已成功更改密码。
ChangePassword.notallow.text1,You are not allowed to change password because you have not yet provided your email.,更改密碼不適用。,更改密碼不適用。,更改密码不适用。
ChangePassword.notallow.text2,Please provide your email by tapping Menu button-> Account management-> Profile update.,請點擊菜單按鈕-> 帳戶管理-> 用戶資料更新，以提供您的電子郵件。,請點擊菜單按鈕-> 帳戶管理-> 用戶資料更新，以提供您的電子郵件。,请点击菜单按钮-> 账户管理-> 用戶资料更新，以提供您的电子邮件。
,,,,
LinkUp.title,Account Link Up,帳戶連結,帳戶連結,帐户连结
LinkUp.notlinkedup.title,Link up “iAM Smart” Account Instruction,連結「智方便」帳戶指引,連結「智方便」帳戶指引,连结「智方便」帐户指引
LinkUp.notlinkedup.text1,1. Please follow the registration steps shown on the “iAM Smart” website https://www.iamsmart.gov.hk/ if you have not yet registered “iAM Smart” or “iAM Smart”,1. 如尚未登記「智方便」或「智方便+」，請依照「智方便」網站 https://www.iamsmart.gov.hk/ 指示登記,1. 如尚未登記「智方便」或「智方便+」，請依照「智方便」網站 https://www.iamsmart.gov.hk/ 指示登記,1. 如尚未登记「智方便」或「智方便+」，请依照「智方便」网站 https://www.iamsmart.gov.hk/ 指示登记
LinkUp.notlinkedup.text1a,1. Please follow the registration steps shown on the “iAM Smart” website,1. 如尚未登記「智方便」或「智方便+」，請依照「智方便」網站,1. 如尚未登記「智方便」或「智方便+」，請依照「智方便」網站,1. 如尚未登记「智方便」或「智方便+」，请依照「智方便」网站
LinkUp.notlinkedup.text1b,if you have not yet registered “iAM Smart” or “iAM Smart”,指示登記,指示登記,指示登记
LinkUp.notlinkedup.text2,2. Login HKPF Digital Services Logon System with your “iAM Smart” or “iAM Smart” account by tapping the “Login with iAM Smart” button on the login page,2. 於香港警務處數碼服務登入系統的登入頁面點擊『「智方便」登入』按鈕並使用已登記的「智方便」或「智方便+」帳戶登入,2. 於香港警務處數碼服務登入系統的登入頁面點擊『「智方便」登入』按鈕並使用已登記的「智方便」或「智方便+」帳戶登入,2. 于香港警务处数码服务登入系统的登入页面点击『「智方便」登入』按钮并使用已登记的「智方便」或「智方便+」帐户登入
LinkUp.notlinkedup.text3,3. Tap “Account Link Up” in the menu upon login success,"3. 登入成功後，在選單中點擊 ""帳戶連結”",3. 登入成功後，在選單中點擊 “帳戶連結”,3. 登录成功后，在菜单中点击 “帐户连结”
LinkUp.linkedup.text1,Please enter your existing HKPF Digital Services Logon account and login. ,請輸入現有的香港警務處數碼服務登入電郵和密碼。,請輸入現有的香港警務處數碼服務登入電郵和密碼。,请输入现有的香港警务处数码服务登入电邮和密码。
LinkUp.linkedup.text2,"Since your device has already been enrolled, you can do biometric authentication to link-up with your account.",由於您的裝置已經註冊，您可以進行生物辨識驗證以連結您的帳戶。,由於您的裝置已經註冊，您可以進行生物辨識驗證以連結您的帳戶。,由于您的设备已经注册，您可以进行生物识别验证以连接您的账户。
LinkUp.havelinkedup.text,Your HKPF Digital Services Logon account has already linked up with “iAM Smart” Account.,您的香港警務處數碼服務登入帳戶已連結「智方便」帳戶。,您的香港警務處數碼服務登入帳戶已連結「智方便」帳戶。,您的香港警务处数码服务登入帐户已连结「智方便」帐户。
LinkUp.linkedup.button,Link,連結,連結,连结
LinkUp.confirm.button,Link,連結,連結,连结
LinkUp.confirm.title,Link up Confirmation,連結確認,連結確認,连结确认
LinkUp.success.text1,Link up success,成功連結,成功連結,成功连结
LinkUp.success.text2,You are DSL existing user and the DSL account is successfully linked-up. You can log-in with “iAM Smart” now.,已成功與 閣下現有的「數碼服務登入」帳戶連結，日後可用「智方便」登入。,已成功與 閣下現有的「數碼服務登入」帳戶連結，日後可用「智方便」登入。,已成功与 阁下现有的「数码服务登入」帐户连结，日后可用「智方便」登入。
,,,,
FIrstimeLinkUp.landing.title,Link up your DSL Account,連結您的「數碼服務登入」帳戶,連結您的「數碼服務登入」帳戶,连接您的「数码服务登入」账户
FIrstimeLinkUp.landing.text1,"This is your first time login with ""iAM Smart"" to the DSL. If you are already an existing user of DSL, please provide your registered email and password. Then tap [Link] to link-up with your account. Otherwise, please tap [Skip] to continue.",這是您首次透過「智方便」登入香港警務處「數碼服務登入」。若 閣下是「數碼服務登入」的現有用戶，請提供您的註冊電郵及密碼並按【連結】，以便連結您的帳戶。若 閣下並非「數碼服務登入」的現有用戶，請按【略過】繼續完成。,這是您首次透過「智方便」登入香港警務處「數碼服務登入」。若 閣下是「數碼服務登入」的現有用戶，請提供您的註冊電郵及密碼並按【連結】，以便連結您的帳戶。若 閣下並非「數碼服務登入」的現有用戶，請按【略過】繼續完成。,这是您首次透过「智方便」登入香港警务处「数码服务登入」。若 阁下是「数码服务登入」的现有用户，请提供您的注册电邮及密码并点击【连接】，以便连结您的账户。若 阁下并非「数码服务登入」的现有用户，请点击【跳过】继续完成。
FIrstimeLinkUp.landing.text2,"This is your first time login with “iAM Smart” to the DSL. Since your device has already been enrolled, you can do biometric authentication and tap [Link] to link-up with your account. Otherwise, please tap [Skip] to continue.",這是您首次透過「智方便」登入香港警務處「數碼服務登入」。由於 閣下的設備已經註冊，您可以進行生物辨識驗證，然後點擊 [連結] 來連接您的帳戶。若 閣下不想連接至「數碼服務登入」的現有帳戶，請按【略過】繼續完成。,這是您首次透過「智方便」登入香港警務處「數碼服務登入」。由於 閣下的設備已經註冊，您可以進行生物辨識驗證，然後點擊 [連結] 來連接您的帳戶。若 閣下不想連接至「數碼服務登入」的現有帳戶，請按【略過】繼續完成。,这是您首次透过「智方便」登入香港警务处「数码服务登入」。由于 阁下的设备已经注册，您可以进行生物识别验证，然后点击 [连接] 来连接您的帐户。若 阁下不想连接至「数码服务登入」的现有账户，请点击【跳过】继续完成。
FIrstimeLinkUp.landing.button1,Link,連結,連結,连结
FIrstimeLinkUp.landing.button2,Skip,略過,略過,跳过
FIrstimeLinkUp.error.text1,DSL Account not found. Please try again.,"未能找到帳戶紀錄, 請重試","未能找到帳戶紀錄, 請重試","未能找到帐户纪录, 请重试"
FIrstimeLinkUp.success.button,OK,繼續,繼續,继续
,,,,
NetworkError.text1,Could not connect to Internet or network is unstable,無法連接到網際網路或網絡不穩定,無法連接到網際網路或網絡不穩定,无法连接到互联网或网络不稳定
NetworkError.text2,Please check your network and retry,請檢查您的網絡並重試,請檢查您的網絡並重試,请检查您的网络并重试
NetworkError.buttton1,Retry,重試,重試,重试
NetworkError.buttton2,Exit the application,退出應用程式,退出應用程式,退出应用程序
,,,,
OsVersionError.text1,The operation system is not supported by this application,這個應用程式不支援該作業系統,這個應用程式不支援該作業系統,该应用程序不支持该操作系统
OsVersionError.text2,Please update OS version and retry,請更新作業系統版本後重試,請更新作業系統版本後重試,请更新操作系统版本后重试
OsVersionError.button1,Retry,重試,重試,重试
OsVersionError.button2,Exit the application,退出應用程式,退出應用程式,退出应用程序
,,,,
JailbreakError.text1,The device is jailbroken,該設備已經越獄,該設備已經越獄,该设备已经越狱
JailbreakError.text2,Please unjailbreak your device and retry,請解除越獄並重試,請解除越獄並重試,请解除越狱并重试
JailbreakError.button1,Retry,重試,重試,重试
JailbreakError.button2,Exit the application,退出應用程式,退出應用程式,退出应用程序
,,,,
AppVersionError.text1,Update Available,有更新可用,有更新可用,有更新可用
AppVersionError.text2,New version of DSL is available. \n Please press “Update” to continue.,最新版本的DSL可用。 \n 請按下「更新」繼續。,最新版本的DSL可用。 \n 請按下「更新」繼續。,最新版本的DSL可用。 \n 请按下「更新」继续。
AppVersionError.text3,Please press “Update” to continue,請按下「更新」繼續,請按下「更新」繼續,请按下「更新」继续
AppVersionError.button1,Update,更新,更新,更新
,,,,
PickerStyle.button1,Done,完成,完成,完成
PickerStyle.button2,Clear,清除,清除,清除
,,,,
Announcement.alert,Announcement,公告,公告,公告
,,,,
RequestSigning.button,Sign with iAM Smart,以智方便簽署,以智方便簽署,以智方便签署
OpeniAMSmart.button,Open iAM Smart,開啟智方便,開啟智方便,开启智方便
